sqn,kratio,net_profit,winners,recovery_factor,n_bars,length,pullback_threshold
1.21,0.03,5167.3,1488,2.4,4,3,0.03
1.21,0.03,5167.3,1488,2.4,4,3,0.05
1.21,0.03,5167.3,1488,2.4,4,3,0.07
0.93,0.03,3823.8,1317,2.11,4,4,0.03
0.93,0.03,3823.8,1317,2.11,4,4,0.05
0.93,0.03,3823.8,1317,2.11,4,4,0.07
0.97,0.03,3900.4,1190,1.81,4,5,0.03
0.97,0.03,3900.4,1190,1.81,4,5,0.05
0.97,0.03,3900.4,1190,1.81,4,5,0.07
1.82,0.05,7017.4,1092,4.88,4,6,0.03
1.82,0.05,7017.4,1092,4.88,4,6,0.05
1.82,0.05,7017.4,1092,4.88,4,6,0.07
1.97,0.05,7209.8,1016,4.66,4,7,0.03
1.97,0.05,7209.8,1016,4.66,4,7,0.05
1.97,0.05,7209.8,1016,4.66,4,7,0.07
1.72,0.05,6050.9,960,3.39,4,8,0.03
1.72,0.05,6050.9,960,3.39,4,8,0.05
1.72,0.05,6050.9,960,3.39,4,8,0.07
1.6,0.04,5517.7,897,3.1,4,9,0.03
1.6,0.04,5517.7,897,3.1,4,9,0.05
1.6,0.04,5517.7,897,3.1,4,9,0.07
1.35,0.04,4499.5,843,2.47,4,10,0.03
1.35,0.04,4499.5,843,2.47,4,10,0.05
1.35,0.04,4499.5,843,2.47,4,10,0.07
1.48,0.05,4766.2,802,3.11,4,11,0.03
1.48,0.05,4766.2,802,3.11,4,11,0.05
1.48,0.05,4766.2,802,3.11,4,11,0.07
1.86,0.06,5839.7,776,4.22,4,12,0.03
1.86,0.06,5839.7,776,4.22,4,12,0.05
1.86,0.06,5839.7,776,4.22,4,12,0.07
1.48,0.05,7028,1343,3.83,5,3,0.03
1.48,0.05,7028,1343,3.83,5,3,0.05
1.48,0.05,7028,1343,3.83,5,3,0.07
0.83,0.03,3792,1209,1.46,5,4,0.03
0.83,0.03,3792,1209,1.46,5,4,0.05
0.83,0.03,3792,1209,1.46,5,4,0.07
1.19,0.04,5168.5,1123,2.5,5,5,0.03
1.19,0.04,5168.5,1123,2.5,5,5,0.05
1.19,0.04,5168.5,1123,2.5,5,5,0.07
1.93,0.05,8017.5,1028,4.13,5,6,0.03
1.93,0.05,8017.5,1028,4.13,5,6,0.05
1.93,0.05,8017.5,1028,4.13,5,6,0.07
2.2,0.04,8733.7,963,3.71,5,7,0.03
2.2,0.04,8733.7,963,3.71,5,7,0.05
2.2,0.04,8733.7,963,3.71,5,7,0.07
1.86,0.04,7099.3,907,3.58,5,8,0.03
1.86,0.04,7099.3,907,3.58,5,8,0.05
1.86,0.04,7099.3,907,3.58,5,8,0.07
1.76,0.04,6476.5,855,3.26,5,9,0.03
1.76,0.04,6476.5,855,3.26,5,9,0.05
1.76,0.04,6476.5,855,3.26,5,9,0.07
1.4,0.04,4975,801,2.62,5,10,0.03
1.4,0.04,4975,801,2.62,5,10,0.05
1.4,0.04,4975,801,2.62,5,10,0.07
1.36,0.04,4734.7,758,2.74,5,11,0.03
1.36,0.04,4734.7,758,2.74,5,11,0.05
1.36,0.04,4734.7,758,2.74,5,11,0.07
1.53,0.04,5180.7,734,3.05,5,12,0.03
1.53,0.04,5180.7,734,3.05,5,12,0.05
1.53,0.04,5180.7,734,3.05,5,12,0.07
0.67,0.03,3255,1228,1.11,6,3,0.03
0.67,0.03,3255,1228,1.11,6,3,0.05
0.67,0.03,3255,1228,1.11,6,3,0.07
0.43,0.02,1989.2,1114,0.75,6,4,0.03
0.43,0.02,1989.2,1114,0.75,6,4,0.05
0.43,0.02,1989.2,1114,0.75,6,4,0.07
1.27,0.05,5599.5,1055,2.88,6,5,0.03
1.27,0.05,5599.5,1055,2.88,6,5,0.05
1.27,0.05,5599.5,1055,2.88,6,5,0.07
2.31,0.07,9697.8,982,4.99,6,6,0.03
2.31,0.07,9697.8,982,4.99,6,6,0.05
2.31,0.07,9697.8,982,4.99,6,6,0.07
2.57,0.06,10465,912,6.13,6,7,0.03
2.57,0.06,10465,912,6.13,6,7,0.05
2.57,0.06,10465,912,6.13,6,7,0.07
2.33,0.06,9000,860,7.23,6,8,0.03
2.33,0.06,9000,860,7.23,6,8,0.05
2.33,0.06,9000,860,7.23,6,8,0.07
2.4,0.06,9151.9,819,7.52,6,9,0.03
2.4,0.06,9151.9,819,7.52,6,9,0.05
2.4,0.06,9151.9,819,7.52,6,9,0.07
1.75,0.05,6528,766,3.33,6,10,0.03
1.75,0.05,6528,766,3.33,6,10,0.05
1.75,0.05,6528,766,3.33,6,10,0.07
1.8,0.06,6649.2,720,3.78,6,11,0.03
1.8,0.06,6649.2,720,3.78,6,11,0.05
1.8,0.06,6649.2,720,3.78,6,11,0.07
1.94,0.05,7020.5,692,3.54,6,12,0.03
1.94,0.05,7020.5,692,3.54,6,12,0.05
1.94,0.05,7020.5,692,3.54,6,12,0.07
0.83,0.04,4087.8,1104,1.18,7,3,0.03
0.83,0.04,4087.8,1104,1.18,7,3,0.05
0.83,0.04,4087.8,1104,1.18,7,3,0.07
1.28,0.05,6003.7,1026,2.19,7,4,0.03
1.28,0.05,6003.7,1026,2.19,7,4,0.05
1.28,0.05,6003.7,1026,2.19,7,4,0.07
1.93,0.06,8717.29,965,4.49,7,5,0.03
1.93,0.06,8717.29,965,4.49,7,5,0.05
1.93,0.06,8717.29,965,4.49,7,5,0.07
2.97,0.08,12881.8,921,7.37,7,6,0.03
2.97,0.08,12881.8,921,7.37,7,6,0.05
2.97,0.08,12881.8,921,7.37,7,6,0.07
3.09,0.07,13072.29,868,9.05,7,7,0.03
3.09,0.07,13072.29,868,9.05,7,7,0.05
3.09,0.07,13072.29,868,9.05,7,7,0.07
3.07,0.09,12345.59,827,12.23,7,8,0.03
3.07,0.09,12345.59,827,12.23,7,8,0.05
3.07,0.09,12345.59,827,12.23,7,8,0.07
2.79,0.09,10764.09,780,9.8,7,9,0.03
2.79,0.09,10764.09,780,9.8,7,9,0.05
2.79,0.09,10764.09,780,9.8,7,9,0.07
2.25,0.06,8477.9,725,4.66,7,10,0.03
2.25,0.06,8477.9,725,4.66,7,10,0.05
2.25,0.06,8477.9,725,4.66,7,10,0.07
2.4,0.07,8800.5,686,6.71,7,11,0.03
2.4,0.07,8800.5,686,6.71,7,11,0.05
2.4,0.07,8800.5,686,6.71,7,11,0.07
2.47,0.07,8968,657,5.62,7,12,0.03
2.47,0.07,8968,657,5.62,7,12,0.05
2.47,0.07,8968,657,5.62,7,12,0.07
1.83,0.06,9171.9,1058,4.55,8,3,0.03
1.83,0.06,9171.9,1058,4.55,8,3,0.05
1.83,0.06,9171.9,1058,4.55,8,3,0.07
2.23,0.06,10543.8,983,5.29,8,4,0.03
2.23,0.06,10543.8,983,5.29,8,4,0.05
2.23,0.06,10543.8,983,5.29,8,4,0.07
2.76,0.06,12663,924,10.2,8,5,0.03
2.76,0.06,12663,924,10.2,8,5,0.05
2.76,0.06,12663,924,10.2,8,5,0.07
3.24,0.09,14264.21,875,12.57,8,6,0.03
3.24,0.09,14264.21,875,12.57,8,6,0.05
3.24,0.09,14264.21,875,12.57,8,6,0.07
3.43,0.08,14693.21,824,12.72,8,7,0.03
3.43,0.08,14693.21,824,12.72,8,7,0.05
3.43,0.08,14693.21,824,12.72,8,7,0.07
3.2,0.08,13369.11,783,12.36,8,8,0.03
